sample	samples	RNAss	FOXM1	AKT_PATHWAY	ALK_PATHWAY	BRCA_ATR_PATHWAY	CASPASE_CASCADE_(APOPTOSIS)	CTLA4_PATHWAY	PD1_SIGNALING	PI3K_CASCADE	PTEN_PATHWAY	RAS_PATHWAY	RB_PATHWAY	Subtype_Immune_Model_Based	cancer type abbreviation
TCGA-UF-A7JH-01	TCGA-UF-A7JH-01	0.342036	11.56	1.705	-0.0323	1.1561	-0.0212	-0.2672	2.8402	0.5873	-0.0844	-0.1962	-0.0127	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-WB-A81M-01	TCGA-WB-A81M-01	0.341943	5.45	-0.048	-0.8809	-1.9122	-1.5291	-1.9574	-1.2421	-2.2742	-0.1644	0.9214	-1.6109	Lymphocyte Depleted (Immune C4)	PCPG
TCGA-HC-7233-01	TCGA-HC-7233-01	0.341895	6.66	-0.0374	1.0374	0.2578	-0.6278	0.3982	-0.9823	0.5108	0.5811	0.523	0.0165	Inflammatory (Immune C3)	PRAD
TCGA-DD-A4NO-01	TCGA-DD-A4NO-01	0.34185	7.1	-1.4515	0.0801	-0.5721	-1.8951	-0.3621	-0.1357	-0.4381	0.4384	-0.3939	-0.8547	Inflammatory (Immune C3)	LIHC
TCGA-OR-A5K8-01	TCGA-OR-A5K8-01	0.341792	8.15	0.5434	-0.4797	-1.4539	-1.1088	-1.3806	-2.2152	-2.0192	-1.073	-1.0454	-0.9829	Inflammatory (Immune C3)	ACC
TCGA-MI-A75E-01	TCGA-MI-A75E-01	0.34176	8.58	-0.1768	0.8768	-0.2961	-1.5625	0.354	-0.9366	0.2391	0.5368	-0.6295	-0.2239	Inflammatory (Immune C3)	LIHC
TCGA-WC-A87Y-01	TCGA-WC-A87Y-01	0.341746	6.41	1.2551	-0.4011	-0.7553	-0.9974	-0.8066	1.3273	0.4702	-0.0877	1.1435	-0.7014	Inflammatory (Immune C3)	UVM
TCGA-55-7724-01	TCGA-55-7724-01	0.341744	10	-2.8992	0.9363	0.4221	-0.1919	0.71	-1.3121	1.0629	0.1953	0.5997	0.5922	IFN-gamma Dominant (Immune C2)	LUAD
TCGA-HT-7469-01	TCGA-HT-7469-01	0.341731	10.24	-0.2037	0.2688	0.9457	0.2645	-1.4611	-0.5986	-1.7251	1.2009	0.2461	-0.4881	Lymphocyte Depleted (Immune C4)	LGG
TCGA-AC-A5XS-01	TCGA-AC-A5XS-01	0.341722	7.63	-1.6321	0.6214	-0.7278	0.2356	0.2393	0.512	0.9381	-0.558	0.2366	-0.6602	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-18-3407-01	TCGA-18-3407-01	0.341714	9.34	-0.3488	1.0912	0.2731	0.5601	0.3571	0.1544	0.4535	-0.3298	0.2525	1.4321	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-YL-A8HL-01	TCGA-YL-A8HL-01	0.34171	6.42	-1.0143	-0.0209	-1.199	-0.7781	-0.8244	-0.8412	-1.5452	0.3723	-1.3477	-0.9174	Inflammatory (Immune C3)	PRAD
TCGA-DD-AADK-01	TCGA-DD-AADK-01	0.341677	8.94	-2.1079	-0.3435	0.5958	-1.1714	0.2019	2.0529	-0.1316	0.8155	-0.8217	-1.5593	Inflammatory (Immune C3)	LIHC
TCGA-D1-A16X-01	TCGA-D1-A16X-01	0.341665	10.47	1.8409	0.5404	-0.2066	-0.3816	0.7118	0.6192	1.0148	0.3125	0.2077	0.1253	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-55-6984-01	TCGA-55-6984-01	0.341664	9.95	0.2751	-0.0252	0.7329	-0.6127	0.6219	0.0555	0.0354	-0.0029	0.1838	1.3526	Wound Healing (Immune C1)	LUAD
TCGA-G3-A5SM-01	TCGA-G3-A5SM-01	0.341561	8.9	0.2021	0.8139	-0.2042	-1.4827	0.0425	-1.3835	0.2961	0.2711	0.1191	0.0779	Inflammatory (Immune C3)	LIHC
TCGA-AC-A3QQ-01	TCGA-AC-A3QQ-01	0.341527	9.12	-1.5185	-0.5393	-0.7318	-0.4053	-1.0557	0.7207	0.4019	-0.7002	-0.8133	-1.6186	Wound Healing (Immune C1)	BRCA
TCGA-32-5222-01	TCGA-32-5222-01	0.341515	9.69	-1.7021	-0.8786	0.7808	-0.3379	-0.9791	-1.1467	-0.5601	-0.3949	-1.1266	0.8327	Lymphocyte Depleted (Immune C4)	GBM
TCGA-HT-8104-01	TCGA-HT-8104-01	0.341396	10.05	0.0184	0.6833	1.7356	0.122	-1.0029	-0.4086	-1.0649	0.94	-0.0383	0.7783	Lymphocyte Depleted (Immune C4)	LGG
TCGA-B5-A3F9-01	TCGA-B5-A3F9-01	0.341359	9.43	0.269	-0.7642	-0.148	0.3235	-0.0286	-0.0763	-0.2952	1.5346	-1.018	-1.1795	Wound Healing (Immune C1)	UCEC
TCGA-DU-8167-01	TCGA-DU-8167-01	0.341315	7.71	-0.5329	-0.0962	1.3723	-1.0713	-1.6017	0.2352	-1.0952	0.8912	-0.5483	1.2885	Immunologically Quiet (Immune C5)	LGG
TCGA-E2-A1LA-01	TCGA-E2-A1LA-01	0.341275	10.38	-2.0333	1.2532	-0.8359	-0.0039	0.3454	0.6028	1.0774	0.0174	1.0081	0.2591	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-CN-4726-01	TCGA-CN-4726-01	0.341255	9.49	-0.3376	0.1606	-0.2368	-0.5666	-0.6007	0.4574	-0.2188	-1.6344	0.8059	2.2162	Wound Healing (Immune C1)	HNSC
TCGA-75-5122-01	TCGA-75-5122-01	0.341167	9.42	-1.1639	1.0669	-0.4152	0.1622	1.7282	-0.6608	2.6265	-1.5186	0.4871	1.1965	IFN-gamma Dominant (Immune C2)	LUAD
TCGA-DH-5142-01	TCGA-DH-5142-01	0.341156	8.65	0.4263	0.6219	1.503	-0.6438	-0.9054	-0.6537	0.021	0.7577	0.3626	1.2063	Immunologically Quiet (Immune C5)	LGG
TCGA-CW-6087-01	TCGA-CW-6087-01	0.34115	10.73	-0.7429	1.2618	0.0602	0.565	2.1667	-1.5139	2.3816	-0.0998	1.4752	1.5457	Inflammatory (Immune C3)	KIRC
TCGA-15-0742-01	TCGA-15-0742-01	0.341141	11.24	0.6322	-1.8072	0.572	0.2491	-1.7274	-0.0738	-1.2288	-0.244	-1.3322	-0.3494	Lymphocyte Depleted (Immune C4)	GBM
TCGA-DB-5280-01	TCGA-DB-5280-01	0.341129	5.7	0.2031	-0.1886	1.1958	-1.4058	-2.0888	-0.7344	-1.8435	1.1912	-0.0642	0.671	Immunologically Quiet (Immune C5)	LGG
TCGA-14-0790-01	TCGA-14-0790-01	0.341124	10.7	-0.676	-1.4765	1.1668	-0.128	-1.4856	-0.9041	-1.3764	0.0145	-1.6908	-2.0821	Lymphocyte Depleted (Immune C4)	GBM
TCGA-D8-A1X5-01	TCGA-D8-A1X5-01	0.341088	7.88	-1.4231	1.1145	-0.0869	0.3395	-0.8396	1.532	0.0143	-0.3197	1.4847	-0.0706	Inflammatory (Immune C3)	BRCA
TCGA-05-4398-01	TCGA-05-4398-01	0.341077	10.91	-0.9565	-0.0271	-0.1275	0.4196	1.102	1.7506	1.2426	-0.1176	-0.0682	0.5462	IFN-gamma Dominant (Immune C2)	LUAD
TCGA-S9-A7IY-01	TCGA-S9-A7IY-01	0.341075	5.99	0.3279	0.3012	1.3274	-1.6747	-1.5737	-0.1399	-1.0947	1.035	-0.1295	0.7909	Immunologically Quiet (Immune C5)	LGG
TCGA-DU-A6S7-01	TCGA-DU-A6S7-01	0.341049	8.47	0.9386	0.2335	0.7088	-0.9254	-1.9934	0.3624	-2.4894	1.047	-0.0244	0.8466	Immunologically Quiet (Immune C5)	LGG
TCGA-DD-AADW-01	TCGA-DD-AADW-01	0.340947	10.17	-1.6503	-0.0609	0.5344	0.2173	-0.194	-1.3885	-0.9277	1.3576	0.1071	-0.295	Wound Healing (Immune C1)	LIHC
TCGA-HZ-A8P1-01	TCGA-HZ-A8P1-01	0.340927	9.11	0.9949	-0.4202	0.2236	-0.1027	0.0961	0.7132	-0.5341	0.4008	0.0722	0.2765	Inflammatory (Immune C3)	PAAD
TCGA-CH-5772-01	TCGA-CH-5772-01	0.340921	7.22	-0.3199	-0.231	0.8654	-0.7487	-0.6501	-1.5021	-0.637	0.3125	-0.0358	-1.0401	Inflammatory (Immune C3)	PRAD
TCGA-AO-A03V-01	TCGA-AO-A03V-01	0.340749	8.49	-0.1758	0.7824	-0.1162	-0.1733	-0.6166	0.6474	-0.365	0.8363	1.0066	0.3553	Wound Healing (Immune C1)	BRCA
TCGA-CR-7394-01	TCGA-CR-7394-01	0.34063	10.03	0.0332	1.5467	0.7747	-0.224	1.4352	-0.8584	1.6298	-0.666	1.2536	2.0329	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-EM-A3OA-01	TCGA-EM-A3OA-01	0.340603	5.94	-0.2321	-0.6818	-0.2448	-1.1552	-1.1438	-0.5061	-1.1317	-0.6332	-1.0992	-1.5336	Inflammatory (Immune C3)	THCA
TCGA-D1-A102-01	TCGA-D1-A102-01	0.340595	9.46	-0.4553	0.2383	1.1311	0.5971	0.9261	0.0912	0.2431	2.0135	0.5962	-0.2267	Wound Healing (Immune C1)	UCEC
TCGA-55-8089-01	TCGA-55-8089-01	0.340565	10.52	1.323	0.9025	0.3934	0.6721	2.0737	0.1762	1.7675	-0.2773	1.4444	1.9179	IFN-gamma Dominant (Immune C2)	LUAD
TCGA-OR-A5K1-01	TCGA-OR-A5K1-01	0.340557	9.36	1.6654	0.3407	-1.5483	-0.6893	-0.5414	0.0047	-0.6097	-0.8039	0.003	0.8975	Inflammatory (Immune C3)	ACC
TCGA-12-1597-01	TCGA-12-1597-01	0.340443	10.36	-0.6227	-0.5855	1.5582	-0.3522	-2.1369	-0.0742	-1.0647	0.1047	-0.8208	0.9812	Lymphocyte Depleted (Immune C4)	GBM
TCGA-B6-A0RH-01	TCGA-B6-A0RH-01	0.340438	8.82	-2.6252	-0.0466	0.5787	0.3845	-0.3158	1.7964	-0.5571	-0.7648	0.6799	-0.3445	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-EJ-7314-01	TCGA-EJ-7314-01	0.34036	6.92	0.5318	0.4537	-0.3446	-0.7859	-0.521	-0.5079	-0.8458	0.1886	-0.3476	-0.1675	Inflammatory (Immune C3)	PRAD
TCGA-BR-6801-01	TCGA-BR-6801-01	0.340286	10.47	-0.0247	-0.1958	0.9054	-0.2847	0.3362	0.8361	-0.4146	1.0832	0.7013	0.8404	Wound Healing (Immune C1)	STAD
TCGA-D1-A17Q-01	TCGA-D1-A17Q-01	0.34024	10.55	2.373	-0.758	0.1012	-0.2793	-0.6334	-0.1796	-0.8801	0.1273	0.1021	-0.371	Inflammatory (Immune C3)	UCEC
TCGA-A5-A0R8-01	TCGA-A5-A0R8-01	0.340239	9.24	0.3385	-0.4807	-1.0738	0.0193	0.1729	0.5728	0.2401	-0.393	-0.5005	-0.035	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-HC-7213-01	TCGA-HC-7213-01	0.340236	9.39	-1.3942	0.9211	0.0328	0.3761	0.325	0.4424	-0.4679	0.6014	-0.496	0.3553	Inflammatory (Immune C3)	PRAD
TCGA-85-8584-01	TCGA-85-8584-01	0.340195	12.9	0.9157	-0.4297	-0.166	0.938	1.4417	1.0551	1.3363	-0.7769	0.3352	0.3225	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-CR-6477-01	TCGA-CR-6477-01	0.340183	11.8	0.9315	1.1341	0.7408	-0.2335	0.0022	-0.1428	0.7314	-0.6515	1.1236	1.5513	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-L5-A8NV-01	TCGA-L5-A8NV-01	0.34006	10	1.077	0.3755	1.1531	0.443	0.9481	-0.255	0.1758	0.2561	0.1494	0.0765	IFN-gamma Dominant (Immune C2)	ESCA
TCGA-XR-A8TD-01	TCGA-XR-A8TD-01	0.340037	9.72	-2.0688	1.1093	-0.4072	-0.3616	0.7463	-0.4815	1.1782	0.4268	0.1191	-0.0441	IFN-gamma Dominant (Immune C2)	LIHC
TCGA-HC-7231-01	TCGA-HC-7231-01	0.340027	6.71	0.4694	0.6104	-0.4939	-0.7848	-0.0508	-0.5543	0.0177	0.4374	-0.3845	-0.2964	Inflammatory (Immune C3)	PRAD
TCGA-E9-A1NA-01	TCGA-E9-A1NA-01	0.34002	10.12	0.7981	0.5256	-0.192	0.0074	-0.5354	-0.345	0.0926	0.734	0.8711	0.556	Lymphocyte Depleted (Immune C4)	BRCA
TCGA-WB-A81Q-01	TCGA-WB-A81Q-01	0.339983	8.5	-0.2022	-1.132	-1.1352	-0.5499	-1.4043	-0.9809	-0.8541	-0.6192	0.9593	-1.307	Inflammatory (Immune C3)	PCPG
TCGA-A6-6654-01	TCGA-A6-6654-01	0.33996	10.48	1.6872	0.3884	0.2572	0.149	0.8754	-0.2996	0.9982	0.5802	1.2486	0.5915	Wound Healing (Immune C1)	COAD
TCGA-F4-6461-01	TCGA-F4-6461-01	0.339887	9.63	0.1848	-0.261	0.816	0.2229	0.2048	-0.2385	-0.0104	0.0955	0.2416	0.7665	Wound Healing (Immune C1)	COAD
TCGA-EW-A1J5-01	TCGA-EW-A1J5-01	0.339855	9.72	-1.9288	1.5705	-0.0714	0.6575	1.0902	-0.4665	0.8894	0.6689	1.2576	0.6111	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-AP-A1DP-01	TCGA-AP-A1DP-01	0.339792	8.92	-0.0247	-0.6012	-0.8442	0.4557	0.3741	-0.1085	-0.7011	0.6323	-0.0124	-0.3557	Wound Healing (Immune C1)	UCEC
TCGA-CV-5979-01	TCGA-CV-5979-01	0.339756	11.25	2.4892	-0.6965	0.2477	0.2189	0.5986	0.0044	-0.6598	-0.9568	0.508	0.0284	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-G3-A5SJ-01	TCGA-G3-A5SJ-01	0.339752	8.78	-0.5953	0.092	0.3247	-0.4571	0.3219	1.6109	0.5218	-0.0115	-0.0961	-0.7411	Wound Healing (Immune C1)	LIHC
TCGA-98-8020-01	TCGA-98-8020-01	0.339707	10.53	1.3438	0.3731	0.6972	0.4228	0.7761	1.7288	0.5954	-0.7947	0.908	1.0376	Wound Healing (Immune C1)	LUSC
TCGA-AJ-A23N-01	TCGA-AJ-A23N-01	0.339648	11.34	-0.3168	0.1754	0.5628	1.0626	0.1316	0.0862	-0.0914	0.8782	0.39	0.3727	Wound Healing (Immune C1)	UCEC
TCGA-S3-A6ZF-01	TCGA-S3-A6ZF-01	0.339641	10.54	-0.856	0.5637	-0.2918	0.7395	0.193	1.4466	0.3239	-0.1427	0.647	0.2974	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-CH-5764-01	TCGA-CH-5764-01	0.339639	6.44	-1.767	0.7805	0.0267	-0.5709	-0.0283	-1.0616	-0.4131	0.5787	0.2615	-0.8108	Inflammatory (Immune C3)	PRAD
TCGA-CV-5973-01	TCGA-CV-5973-01	0.339634	8.99	0.4902	-0.727	-1.9593	-1.5177	-0.9219	-0.2761	-0.7584	-2.4489	-0.7132	1.2328	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-VS-A8QM-01	TCGA-VS-A8QM-01	0.339612	10.31	1.039	1.5462	0.3079	1.0319	1.4807	0.5646	1.2251	0.1679	0.7028	1.5945	IFN-gamma Dominant (Immune C2)	CESC
TCGA-BQ-5891-01	TCGA-BQ-5891-01	0.339536	8.67	1.8181	-0.3597	0.0431	0.0689	-0.5118	-1.3532	-0.7004	0.4408	-0.0981	-0.7648	Lymphocyte Depleted (Immune C4)	KIRP
TCGA-CS-4944-01	TCGA-CS-4944-01	0.339523	5.15	-0.6318	-0.565	0.7677	-2.3931	-2.0883	-1.3067	-0.9426	0.5604	-0.3954	0.602	Immunologically Quiet (Immune C5)	LGG
TCGA-C8-A8HP-01	TCGA-C8-A8HP-01	0.339517	10.15	2.8234	0.0415	-0.5217	0.2761	0.6972	0.7675	1.1669	-0.4263	1.2078	-0.0364	Wound Healing (Immune C1)	BRCA
TCGA-E2-A1B5-01	TCGA-E2-A1B5-01	0.339517	7.96	-2.0987	1.7797	0.3708	0.0662	0.9086	0.0012	1.6836	0.7765	1.0185	0.5818	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-BH-A0BS-01	TCGA-BH-A0BS-01	0.339502	9.18	-2.9265	0.2345	-1.0597	0.2979	-0.9384	-1.2924	-1.3252	-0.2377	0.3068	0.0444	Lymphocyte Depleted (Immune C4)	BRCA
TCGA-F7-A50I-01	TCGA-F7-A50I-01	0.339499	9.69	-0.0835	-0.2039	-0.2958	-0.7066	0.1739	2.2876	0.243	-0.5743	-0.5822	0.0374	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-G2-A2EK-01	TCGA-G2-A2EK-01	0.339491	8.11	0.8544	-0.7275	0.0358	0.2896	0.0344	2.1214	-0.2609	0.258	-0.0079	-0.2818	Inflammatory (Immune C3)	BLCA
TCGA-C8-A131-01	TCGA-C8-A131-01	0.339423	10.34	0.8995	-0.1272	-0.511	0.525	0.0916	1.9457	0.1412	-0.7566	0.3342	0.5971	Wound Healing (Immune C1)	BRCA
TCGA-12-3652-01	TCGA-12-3652-01	0.33941	9.77	-1.136	-1.5504	1.597	-0.6742	-1.1934	-0.6465	-0.9095	-0.5821	-1.2202	-0.2079	Lymphocyte Depleted (Immune C4)	GBM
TCGA-56-A5DS-01	TCGA-56-A5DS-01	0.339337	10.52	0.9558	1.4724	0.7503	0.6346	0.9914	1.4577	0.4262	0.5797	0.6928	1.124	Wound Healing (Immune C1)	LUSC
TCGA-HC-7211-01	TCGA-HC-7211-01	0.339332	6.52	-0.4736	0.4665	-0.3898	-0.5199	-0.1086	-0.8484	-0.6803	0.7032	-0.0632	-0.4323	Inflammatory (Immune C3)	PRAD
TCGA-AR-A0TX-01	TCGA-AR-A0TX-01	0.339298	9.77	0.16	2.3439	-0.1242	0.1371	1.1919	-0.6769	1.2197	0.6964	1.9653	0.8508	Inflammatory (Immune C3)	BRCA
TCGA-A4-8098-01	TCGA-A4-8098-01	0.3392	8.36	0.5409	-1.3507	-1.1703	0.2254	0.1107	0.1569	0.3352	0.0044	0.254	-0.8219	Lymphocyte Depleted (Immune C4)	KIRP
TCGA-UB-A7MD-01	TCGA-UB-A7MD-01	0.338971	8.87	-0.1809	0.2488	-0.0433	-1.2399	-0.2858	0.2109	0.1075	-0.1731	-0.0109	-0.2755	Lymphocyte Depleted (Immune C4)	LIHC
TCGA-KK-A8I6-01	TCGA-KK-A8I6-01	0.338945	7.44	0.3578	0.1502	-0.443	-0.4075	-0.3367	0.2709	-0.6428	0.4543	-0.4826	-0.746	Inflammatory (Immune C3)	PRAD
TCGA-06-5859-01	TCGA-06-5859-01	0.338944	11.74	-2.8317	0.8692	1.3201	0.3721	-1.1163	-0.7501	-0.0692	0.3207	-0.3606	-0.0978	Lymphocyte Depleted (Immune C4)	GBM
TCGA-GC-A3OO-01	TCGA-GC-A3OO-01	0.338932	11.34	0.4912	-0.4512	-0.377	0.8835	-0.165	-0.0396	-0.5586	-0.4716	-0.2012	0.9149	Wound Healing (Immune C1)	BLCA
TCGA-ND-A4WA-01	TCGA-ND-A4WA-01	0.338776	10.15	0.5292	-1.7996	1.5262	0.6623	-1.4033	1.124	-1.0455	1.7719	-0.245	-0.7725	Wound Healing (Immune C1)	UCS
TCGA-BQ-5875-01	TCGA-BQ-5875-01	0.338718	6.71	1.4661	-0.7971	-0.9755	-0.6389	-1.1012	-0.7223	-0.8649	0.4664	0.4079	0.4835	Lymphocyte Depleted (Immune C4)	KIRP
TCGA-05-5423-01	TCGA-05-5423-01	0.338701	7.31	-1.0356	-0.1672	-0.2375	-0.3543	0.9585	0.1748	1.4017	-0.5888	-0.4666	0.0521	IFN-gamma Dominant (Immune C2)	LUAD
TCGA-E9-A1RA-01	TCGA-E9-A1RA-01	0.338681	8.57	-0.7333	0.9478	-0.3507	0.46	-0.221	0.5399	-0.1455	0.6882	0.3636	0.2612	Wound Healing (Immune C1)	BRCA
TCGA-CH-5791-01	TCGA-CH-5791-01	0.33867	7.69	-1.663	0.4327	-0.3285	-0.1658	-0.3655	-0.948	-0.7818	0.3453	-0.4238	0.5177	Inflammatory (Immune C3)	PRAD
TCGA-QH-A65S-01	TCGA-QH-A65S-01	0.338641	6.77	0.1559	0.1058	0.7131	-1.6782	-1.88	-0.3736	-2.1396	0.7697	-0.7441	1.1122	Immunologically Quiet (Immune C5)	LGG
TCGA-2A-A8W3-01	TCGA-2A-A8W3-01	0.338623	7.73	0.551	0.5371	-0.275	-0.4458	-0.3156	-0.1935	-0.7048	1.1425	0.127	0.0012	Inflammatory (Immune C3)	PRAD
TCGA-HC-7820-01	TCGA-HC-7820-01	0.338614	5.83	0.4607	-0.0109	-0.3785	-0.8687	-0.6224	-0.3411	-0.909	0.6564	-0.259	-1.3837	Lymphocyte Depleted (Immune C4)	PRAD
TCGA-V1-A9OL-01	TCGA-V1-A9OL-01	0.338544	9.07	-0.1936	-0.1548	-0.5251	0.4411	-0.1959	-0.2407	-0.0831	0.6506	-0.4881	0.3588	Wound Healing (Immune C1)	PRAD
TCGA-DK-A1AA-01	TCGA-DK-A1AA-01	0.338445	8.21	0.4542	-0.0238	-0.2717	-0.0455	-0.0038	0.223	-0.8321	-1.6686	0.3855	1.0801	Wound Healing (Immune C1)	BLCA
TCGA-E2-A15G-01	TCGA-E2-A15G-01	0.338423	8.22	-0.7546	0.3974	0.0468	0.3065	-0.7732	-0.5172	-0.6744	-0.027	0.7337	-0.0629	Inflammatory (Immune C3)	BRCA
TCGA-X6-A8C4-01	TCGA-X6-A8C4-01	0.338383	12.21	-1.2177	-2.5705	-0.693	0.4228	-0.8069	-2.829	-0.7224	-1.6074	-1.7297	-0.4365	Lymphocyte Depleted (Immune C4)	SARC
TCGA-75-7027-01	TCGA-75-7027-01	0.338381	11.72	1.845	-0.616	0.267	0.487	0.2685	0.1405	0.181	0.6038	-0.5613	-0.654	Wound Healing (Immune C1)	LUAD
TCGA-EB-A3XF-01	TCGA-EB-A3XF-01	0.338356	10.08	0.9761	-0.5255	-1.1034	0.0379	0.1624	-0.001	-0.123	-1.2302	-0.1593	-0.4449	Lymphocyte Depleted (Immune C4)	SKCM
TCGA-DU-7301-01	TCGA-DU-7301-01	0.338338	8.52	-0.2813	0.7615	1.6385	-0.8987	-1.6532	-1.1192	-0.7814	0.5734	0.4722	1.4955	Immunologically Quiet (Immune C5)	LGG
TCGA-E1-A7YD-01	TCGA-E1-A7YD-01	0.338318	11.05	0.8041	-0.3111	1.3427	0.4142	-0.9381	-1.4339	-1.3713	0.8276	-1.1888	-0.3222	Lymphocyte Depleted (Immune C4)	LGG
TCGA-C8-A1HI-01	TCGA-C8-A1HI-01	0.338305	8.23	-1.7924	0.6719	0.2859	-0.1809	-0.4635	-0.8287	-0.4229	1.1295	1.283	0.5393	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-R6-A6Y2-01	TCGA-R6-A6Y2-01	0.338272	10.83	-0.6131	0.427	1.965	0.5258	1.0725	-0.5526	0.3521	2.5242	0.7272	0.7065	Wound Healing (Immune C1)	ESCA
TCGA-J7-8537-01	TCGA-J7-8537-01	0.338271	8.79	0.0834	0.4013	0.7412	-0.2076	0.8887	-0.195	1.3607	1.0986	0.9692	-0.5118	IFN-gamma Dominant (Immune C2)	KIRP
TCGA-AO-A1KT-01	TCGA-AO-A1KT-01	0.338206	10.69	-0.5233	-0.1105	-0.2121	0.3659	-0.3867	1.5502	-0.26	0.4143	0.5668	-0.012	Wound Healing (Immune C1)	BRCA
TCGA-FD-A6TF-01	TCGA-FD-A6TF-01	0.338192	11.34	1.8714	-1.2064	-0.8414	0.1479	-0.7199	0.0637	0.0107	-0.3843	-0.7734	-0.0845	Wound Healing (Immune C1)	BLCA
TCGA-DU-A5TS-01	TCGA-DU-A5TS-01	0.338123	9.4	1.2292	-0.7623	0.514	-1.3513	-2.4291	0.7217	-2.0427	0.9062	-0.882	-0.0009	Immunologically Quiet (Immune C5)	LGG
TCGA-HT-8015-01	TCGA-HT-8015-01	0.3381	8.36	-0.61	-0.0843	0.4761	-1.9558	-1.2732	-0.1567	-1.0616	1.3238	0.263	0.6982	Immunologically Quiet (Immune C5)	LGG
TCGA-BH-A1FR-01	TCGA-BH-A1FR-01	0.338086	9.34	0.2366	0.3069	-0.1834	0.2925	-0.3088	-0.604	0.0435	0.5561	-0.005	0.0779	Inflammatory (Immune C3)	BRCA
TCGA-E9-A1RD-01	TCGA-E9-A1RD-01	0.338083	8.89	-1.7548	0.7653	-0.0265	0.5024	-0.1833	-1.2513	-0.5023	-0.1451	0.5952	-0.0392	Lymphocyte Depleted (Immune C4)	BRCA
TCGA-CH-5767-01	TCGA-CH-5767-01	0.338081	6.39	0.5652	-0.2768	-0.7336	-0.5984	-0.7601	-2.0898	-1.1992	0.5074	-0.6893	-0.9202	Inflammatory (Immune C3)	PRAD
TCGA-EB-A5SF-01	TCGA-EB-A5SF-01	0.338066	11.36	2.0575	-3.2581	-2.0722	-2.3021	-3.1763	0.4377	-1.0147	-3.0098	-3.6566	-1.6109	Inflammatory (Immune C3)	SKCM
TCGA-XR-A8TG-01	TCGA-XR-A8TG-01	0.337954	9.12	-0.2849	0.4446	0.1137	-0.0247	-0.0048	-1.0641	-0.6074	0.6737	0.0747	-0.2365	Inflammatory (Immune C3)	LIHC
TCGA-EJ-5507-01	TCGA-EJ-5507-01	0.337909	7.16	0.0925	1.3495	-0.1431	-0.2211	0.4047	0.0755	-0.3292	0.2195	0.528	0.7755	Inflammatory (Immune C3)	PRAD
TCGA-06-5856-01	TCGA-06-5856-01	0.337856	11.08	-0.3422	-0.3582	1.7604	0.2345	-0.4857	-0.7165	-0.5568	0.8821	-0.3023	0.556	Lymphocyte Depleted (Immune C4)	GBM
TCGA-OR-A5J6-01	TCGA-OR-A5J6-01	0.337852	4.81	-0.261	-0.1438	-2.0875	-1.6186	-0.4219	-0.973	-0.5457	0.2682	-0.6982	-0.2741	Lymphocyte Depleted (Immune C4)	ACC
TCGA-C8-A273-01	TCGA-C8-A273-01	0.33783	10.13	0.445	0.3293	-0.1153	0.4301	-0.2262	0.3938	-0.531	-0.245	1.0315	1.108	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-HT-7616-01	TCGA-HT-7616-01	0.337745	6.8	0.0255	0.6752	1.4508	-1.1201	-0.412	-1.0341	-0.0243	0.9086	1.2158	-0.1717	Lymphocyte Depleted (Immune C4)	LGG
TCGA-IR-A3LH-01	TCGA-IR-A3LH-01	0.337687	10.11	0.1711	0.3584	0.5802	1.1171	2.0828	-0.4154	1.9062	-0.9481	0.3238	0.9707	IFN-gamma Dominant (Immune C2)	CESC
TCGA-TQ-A7RI-01	TCGA-TQ-A7RI-01	0.337636	6.59	0.4034	0.1525	1.1778	-1.5358	-1.783	-0.0724	-1.8926	1.2293	-0.0129	0.3295	Immunologically Quiet (Immune C5)	LGG
TCGA-C8-A12Q-01	TCGA-C8-A12Q-01	0.337608	9.6	0.1072	1.7559	-0.231	0.422	0.2908	-0.713	-0.0164	-0.0535	1.5564	1.246	Wound Healing (Immune C1)	BRCA
TCGA-66-2780-01	TCGA-66-2780-01	0.33758	10.36	0.6256	0.2235	0.2422	0.0438	0.9321	1.3923	0.2009	-0.5006	0.5718	1.0502	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-E2-A154-01	TCGA-E2-A154-01	0.337575	9.51	-1.589	0.0653	-0.202	1.0837	-1.2894	-0.0331	-1.3672	0.3434	0.4821	-0.8916	Wound Healing (Immune C1)	BRCA
